       w1         w2         w3   Data Height 
    51.461      2.517      0.444      1323677 
    51.463      2.669      0.444      2479056 
    51.435      6.525      0.444      1726293 
    51.458      6.763      0.446       567395 
    51.457      3.792      0.443      1860840 
    51.457      4.133      0.444      1790669 
    51.447      7.398      0.445       533661 
    51.432      4.021      0.439       499008 
    51.458      1.393      0.443      2746364 
    51.457      0.938      0.444      6953064 
    51.463      0.439      0.444    110438128 
    51.471      1.611      0.443      4445299 
    51.459      8.369      0.445       490606 
    51.464      0.185      0.442      4179954 
    51.455      0.280      0.441      3946108 
    51.444      1.976      0.443      3016488 
    51.450      1.267      0.441      1587954 
    49.734      7.394      1.645       358705 
    49.736      4.028      1.646      1129517 
    49.773      1.390      1.644      2113134 
    49.748      0.931      1.646      3352572 
    49.709      0.441      1.645      2653877 
    49.731      8.376      1.644      1558434 
    49.748      0.189      1.647      1192061 
    49.668      8.019      1.634       148650 
    49.947      1.643      1.633     19668390 
    51.598      8.363      4.939      1845531 
    51.599      4.939      4.940      3961498 
    51.597      1.368      4.938      4591870 
    51.599      8.610      4.938      5972244 
    51.603      0.261      4.939      1119735 
    51.633      8.848      4.942       337645 
    51.602      5.193      4.938      1470512 
    43.340      4.939      1.369      1493420 
    43.326      8.610      1.369      2587015 
    43.320      0.738      1.368      7187223 
    36.299      0.477      1.587       429131 
    36.252      4.789      1.588       381145 
    36.239      1.586      1.586     11702881 
    36.264      8.885      1.585      2008742 
    36.273      0.660      1.585      1013045 
    36.206      4.135      1.581       337440 
    36.219      8.027      1.582       211238 
    36.256      8.657      1.590       537627 
    36.252      0.226      1.586      4398226 
    45.799      6.547      0.234       634768 
    45.660      1.368      0.195       888535 
    45.670      0.442      0.192      4417376 
    45.645      8.614      0.197      1188925 
    45.647      4.792      0.198       725328 
    45.667      0.200      0.200    120698328 
    45.640      8.893      0.192       787012 
    45.640      4.137      0.197      2905526 
    45.739      1.962      0.223      1024950 
    45.638      8.023      0.198       950413 
    41.478      8.610      0.268      5521060 
    41.483      1.581      0.268      5692784 
    41.479      0.269      0.268    140691632 
    41.470      3.928      0.273       161849 
    41.477      0.833      0.268      5661988 
    41.480      8.832      0.270      1591732 
    41.467      5.192      0.271       738750 
    41.494      8.350      0.268       998420 
    41.458      4.924      0.270       248469 
    41.480      0.521      0.268      4639527 
    41.485      4.100      0.269       333429 
    53.840      8.877      4.872       376145 
    53.847      1.734      4.880        29531 
    53.801      1.921      4.871       385356 
    53.807      8.302      4.872      1029235 
    32.858      8.881      1.738      1790475 
    32.876      8.299      1.738       922002 
    32.849      3.870      1.738      1362494 
    32.866      8.689      1.730       281283 
    32.860      0.736      1.739      3237413 
    36.348      8.888      1.919      1020560 
    36.408      4.856      1.915       280756 
    36.362      1.742      1.921     17720712 
    36.357      1.915      1.920     70749496 
    36.374      8.301      1.919      1232812 
    36.374      3.874      1.920      1246806 
    36.278      4.217      1.923       246891 
    36.362      0.736      1.920      1858520 
    37.045      8.303      3.932      1050324 
    37.064      1.707      3.934      1022964 
    37.020      0.834      3.935      1064881 
    37.026      0.535      3.935      2983884 
    37.029      8.575      3.934      4889737 
