       w1         w2         w3   Data Height 
   124.599      2.344      8.981      6099065 
   124.609      6.565      8.983       627841 
   124.573      8.526      8.982       687171 
   124.591      8.136      8.978       808767 
   122.614      9.509      8.136      4177790 
   122.626      4.453      8.136      9909043 
   122.668      0.742      8.134      1020222 
   122.645      2.341      8.135       756947 
   122.573      4.494      8.135      6085342 
   122.637      1.206      8.136      4626745 
   122.644      1.243      8.137      4710086 
   122.626      0.201      8.136      1071941 
   122.620      0.481      8.135      1313260 
   122.640      4.968      8.134       742555 
   122.645      5.579      8.137      2565619 
   122.624      7.130      8.146       417663 
   114.911      1.233      7.379       903474 
   114.937      3.165      7.375       279599 
   114.902      3.398      7.381       331890 
   114.922      7.380      7.381     11595860 
   114.938      4.566      7.381      1473675 
   114.919      3.954      7.378      1314983 
   114.935      4.062      7.383      1005867 
   114.985      8.845      7.374       280551 
   114.904      7.232      7.379       586629 
   125.539      7.384      8.853       348183 
   125.574      4.571      8.851     10907762 
   125.578      3.950      8.851      1340758 
   125.572      4.063      8.850      2445662 
   125.573      8.848      8.850     46772856 
   125.571      4.227      8.850      3751296 
   125.573      1.392      8.850      8946694 
   125.579      7.979      8.849      5389972 
   125.523      0.584      8.851       311765 
   125.568      7.230      8.851       658952 
   110.155      4.574      7.980      1557686 
   110.154      4.060      7.980      1730194 
   110.157      8.847      7.980      6153439 
   110.156      4.228      7.979      2752201 
   110.163      1.393      7.980      4324089 
   110.158      7.979      7.980     89253992 
   110.157      3.442      7.980      6759547 
   110.158      0.586      7.979      1979703 
   110.158      7.232      7.979     13201674 
   110.156      4.481      7.977       540508 
   110.176      2.298      7.981       512009 
   110.133      2.906      7.978       329469 
   110.123      6.795      7.980       673381 
   110.154      3.911      7.980      5931952 
   115.793      0.193      7.231       603942 
   115.842      7.382      7.232      1117910 
   115.837      4.568      7.233       848861 
   115.842      3.938      7.232      5911834 
   115.837      4.054      7.233      1846938 
   115.837      8.847      7.233       921706 
   115.817      4.230      7.233       692542 
   115.834      1.381      7.233      1037503 
   115.838      7.979      7.232     16129793 
   115.840      3.442      7.232      5120219 
   115.829      0.589      7.231      1388310 
   115.840      7.232      7.232     95445304 
   115.849      4.462      7.232      4058494 
   115.843      2.292      7.232      4618636 
   115.837      2.912      7.232      2254892 
   115.830      6.787      7.232      3102747 
   115.859      8.286      7.232       793180 
   115.842      1.644      7.232       421360 
   115.269      0.204      8.281       593457 
   115.248      7.216      8.279       684861 
   115.274      4.459      8.279      5651822 
