       w1         w2         w3         w4   Data Height 
    29.945     15.226      4.289      6.866      -174820 
    29.654     19.745      2.579      6.865       377434 
    29.713     29.745     -0.139      6.866      8869958 
    29.703     14.433     -0.333      6.869      1139436 
    21.030     21.025      2.830      2.834     25875118 
    30.207     30.269      5.370      5.378       720142 
    30.169     27.616     -0.475      5.376       246573 
    30.185     30.662      3.783      5.377       212023 
    30.119     30.722      4.089      5.385       216452 
    30.149     27.502      0.433      5.364       -98161 
    27.630     14.388     -0.229      6.521       857366 
    14.616     14.621     -0.283      6.720     18016152 
    24.242     24.233      3.037      3.044      3044531 
    24.346     30.748      1.568      3.038       114331 
    24.224     21.647      0.655      3.041       341391 
    24.206     19.373      1.006      3.047       442002 
    30.828     30.846      1.571      1.576      2527202 
    30.853     21.608      0.659      1.580       510943 
    21.624     24.276      3.035      0.659       449504 
    21.631     30.877      1.568      0.659       709232 
    21.631     21.613      0.655      0.659     24906390 
    21.667     19.450      1.005      0.657       155436 
    21.646     19.611      4.698      0.659       431149 
    21.599     18.191      0.892      0.660       105532 
    21.621     21.600      0.207      0.215     12140790 
    23.626     23.612      3.504      4.347       693647 
    14.469     14.441      4.000      4.002      2616766 
    14.576     22.628      1.532      3.998      -140414 
    14.419     23.713      0.928      4.002       446557 
    14.296     25.878      1.631      4.007       104598 
    23.682     32.379      1.934      0.933       161440 
    24.107     30.697      3.750      0.925       -71815 
    23.600     27.097      1.942      0.933       128205 
    23.694     14.443      3.997      0.934       696345 
    23.797     22.643      1.414      0.935      -220038 
    23.694     23.709      0.928      0.934     21516752 
    23.691     27.523      0.428      0.934       831542 
    23.694     25.825      1.636      0.934       440561 
    23.794     21.405      4.140      0.934        60295 
    27.533     30.063      5.383      0.437      -120016 
    27.535     18.054      2.644      0.437      -200302 
    27.406     27.648     -0.475      0.433      -168547 
    27.482     30.676      3.786      0.430      -187972 
    27.298     14.248      3.990      0.433        90649 
    27.481     22.596      1.432      0.431      -175969 
    27.543     22.667      1.531      0.432      -181040 
    27.518     23.711      0.930      0.434       701217 
    27.521     27.518      0.427      0.433      8687395 
    27.541     25.855      1.637      0.435       299340 
    27.481     21.603      0.221      0.433       290842 
    27.672     21.814      4.159      0.436       119175 
    30.793     30.800      4.952      4.959      3327059 
    30.803     19.318      1.364      4.958      -630911 
    30.789     33.336      5.225      4.957       480950 
    30.873     15.657      1.476      4.955        96123 
    19.272     30.810      4.951      1.368      -838423 
    19.273     21.290      2.874      1.366      -100162 
    19.248     25.519      0.728      1.370       398286 
    19.317     23.742      0.746      1.369       172059 
    19.041     19.008      1.363      1.367     40096632 
    17.162     17.160      4.797      4.803      4625344 
    15.828     21.586      0.211      1.581      -308878 
    15.813     17.499      0.271      1.577      -316925 
    15.862     15.864      1.566      1.577      1549162 
    21.600     27.365      0.446      0.218       318938 
    21.631     17.017      4.787      0.218       540801 
    21.630     15.818      1.573      0.217      -465296 
    21.593     17.479      0.275      0.219       703610 
    21.653     14.216      0.318      0.219       380664 
    21.573     24.468      0.633      0.218      -102028 
    21.637     21.617      4.151      0.218       368521 
    17.480     27.652      0.422      0.280        74054 
    17.687     17.049      4.787      0.279       110160 
    17.359     15.841      1.579      0.275      -388907 
    17.466     21.613      0.202      0.277       537326 
    17.438     17.468      0.273      0.277     13927497 
    17.225     33.335      5.237      0.278      -159934 
    17.563     26.843      0.509      0.278       239274 
    17.353     23.338      0.149      0.285       383955 
    19.710     27.834      0.346      3.942       102587 
    19.835     19.484      0.517      3.946       260400 
    19.756     31.515      4.916      3.948      -141694 
    19.806     23.326      0.165      3.952       255229 
    13.947     21.694      0.193      0.323       358467 
    13.947     17.448      0.263      0.309       169064 
    27.832     19.737      0.521      0.334       133480 
    19.498     19.790      3.952      0.531       332606 
    19.436     27.882      0.348      0.528       156440 
    19.662     27.832      0.800      0.529       220710 
    19.550     19.293      1.500      0.530       692621 
    19.552     21.369      0.899      0.528       187235 
    19.774     23.306      0.166      0.521       200595 
    19.799     19.815      0.519      0.528     20284466 
    34.000     34.000      4.519      4.526      5409876 
    19.298     19.569      0.519      1.510       741671 
    19.251     21.429      0.914      1.509       369239 
    29.550     16.821      2.967      7.181       228970 
    29.529     29.550      0.177      7.178     11358241 
    29.536     14.725     -0.153      7.181      1448965 
    14.686     29.552      0.176      6.847      1751409 
    14.702     14.743     -0.154      6.848     15849445 
    21.092     21.101      0.816      0.822     64925092 
    21.434     19.483      0.507      0.925       169445 
    21.407     19.320      1.500      0.920       311987 
    21.371     21.372      0.911      0.921     16755404 
    31.690     31.687      1.873      1.880      2399660 
    34.000     33.836      5.068      5.074      2239122 
    21.090     21.100      2.912      2.916     60896816 
    25.510     25.498      3.564      4.483       357956 
    25.522     25.545      4.491      4.482       541658 
    33.301     30.784      4.953      5.232       547805 
    33.327     19.321      1.381      5.233      -108728 
    33.246     17.424      0.278      5.233      -153746 
    33.313     33.311      5.227      5.234      3880274 
    33.276     15.544      1.456      5.235       413742 
    33.319     29.103      1.536      5.227      -101765 
    33.240     24.612      1.154      5.232      -183771 
    29.325     15.596      1.442      1.544      -164372 
    29.299     29.277      1.528      1.529      9632581 
    29.298     21.025      2.824      1.533      -290937 
    29.334     24.563      1.165      1.534       453357 
    20.742     19.430      1.374      2.838       -90861 
    20.900     15.519      1.444      2.826       111177 
    21.022     29.272      1.534      2.837      -389786 
    20.986     24.458      1.163      2.836      -259969 
    21.037     18.245      0.887      2.839      -136581 
    24.507     15.531      1.449      1.155      -568388 
    24.476     29.281      1.503      1.146       411852 
    24.681     21.079      2.826      1.132       -85477 
    24.402     21.018      2.840      1.156      -177359 
    21.030     21.019      4.114      4.117      2431892 
    20.912     14.295      0.319      4.118       138252 
    21.095     19.471      1.018      4.120       218995 
    20.840     18.947      4.815      4.115       274528 
    13.947     28.209      1.489      0.316       250834 
    14.333     19.347      1.009      0.323       568530 
    13.947     23.469      0.831      0.289       790629 
    13.947     14.185      0.319      0.325     11544866 
    19.450     24.254      3.033      1.016       469406 
    19.345     21.024      4.100      1.016       272303 
    19.333     17.279      1.945      1.013      -402244 
    19.459     14.206      0.327      1.015       473612 
    19.366     28.198      1.498      1.015       140100 
    19.379     19.406      1.006      1.013      9742235 
    19.718     21.622      0.659      4.700       400032 
    19.668     19.655      4.697      4.701      3683815 
    19.683     19.574      1.987      4.702      -382749 
    19.752     18.351      0.873      4.701       520516 
    13.947     19.574      1.991      0.847      -306818 
    13.947     14.280      0.838      0.846     13864282 
    13.947     26.858      1.283      0.845       468653 
    13.947     21.708      1.393      0.845       362653 
    13.947     23.208      3.677      0.841       289166 
    13.947     28.017      0.804      0.811       753472 
    13.947     27.989      1.621      0.810       402195 
    13.947     17.778      0.667      0.810       329537 
    18.288     21.632      0.626      0.888       121677 
    18.383     15.515      1.461      0.885      -164359 
    18.326     21.061      2.823      0.889      -137078 
    18.424     24.549      1.133      0.891       118494 
    18.357     19.661      4.695      0.886       587027 
    18.365     19.565      1.989      0.884      -634534 
    18.368     14.322      0.837      0.887       744516 
    18.405     26.827      1.281      0.886       188855 
    18.373     18.349      0.881      0.885     21217554 
    18.382     23.209      3.680      0.886       478308 
    32.619     15.389      5.589      4.439      -121713 
    33.033     22.118      1.194      4.535       147818 
    32.941     21.789      0.415      4.539      -553849 
    32.799     27.104      1.129      4.543       -98866 
    21.816     14.149      1.752      0.421      -135485 
    21.828     15.480      2.058      0.420      -185264 
    21.768     32.988      4.535      0.423      -778547 
    21.795     22.296      1.182      0.420      -249054 
    21.770     21.788      0.413      0.423     22813420 
    21.760     26.939      1.109      0.421       348112 
    21.767     21.682      1.378      0.423       518822 
    26.947     32.782      4.506      1.131       -77794 
    26.853     22.262      1.182      1.119      -235713 
    26.853     21.780      0.423      1.131       221151 
    26.803     15.622      5.549      1.134        90283 
    26.907     26.934      1.110      1.114       748766 
    18.806     33.046      4.191      1.366     -1052619 
    28.478     21.967      0.555      3.398       517511 
    28.440     28.463      3.396      3.400      7832000 
    21.856     28.494      3.394      0.559       727415 
    21.905     21.952      0.555      0.559     49077516 
    30.236     14.931      4.417      6.768      -243074 
    30.145     22.666      2.234      6.764       272572 
    30.462     22.591      2.859      6.760       190784 
    30.160     30.168     -0.240      6.764      4267384 
    30.160     14.906     -0.248      6.765      2504540 
    14.874     30.188     -0.241      6.759      2412120 
    15.350     15.395      5.580      5.583      1855348 
    15.251     23.923      2.497      5.564      -169149 
    15.116     24.251      3.182      5.568      -211404 
    24.030     24.085      2.487      2.498       297973 
    24.137     24.054      3.159      2.493       246163 
    23.700     23.568      0.833      2.498      -212649 
    30.410     30.422      5.247      5.249      1790989 
    30.321     21.726      1.377      5.248      -410549 
    30.357     32.700      5.441      5.252       227298 
    30.608     27.822      6.470      5.244            0 
    21.683     14.256      0.843      1.378       353799 
    21.633     18.046      0.874      1.376       105625 
    21.654     14.151      1.758      1.381      -358806 
    21.671     14.228      1.928      1.382      -235593 
    21.708     21.788      0.416      1.379       380976 
    21.718     30.422      5.244      1.380      -522498 
    21.708     17.815      0.673      1.379       523146 
    21.790     27.675      6.470      1.381            0 
    21.721     14.219     -0.410      1.380      -378753 
    21.688     21.687      1.376      1.380     18164454 
    19.063     19.035      4.813      4.815      2701648 
    20.033     25.575      3.563      0.529      -239399 
    20.423     21.129      4.077      0.546        77878 
    19.756     19.579      1.007      0.533       241858 
    20.106     19.018      4.815      0.529       338209 
